member,dt,model,order,med_raw,mean_raw,med_flo,mean_flo
FRC-b1,1em2,best,Ndot,0.3506111584758929,0.40133112075338867,0.3506111584758929,0.40133112075338867
FRC-b1,1em2,best,Nddot,0.11842367009172777,0.13943036851790233,0.11842367009172777,0.13943036851790233
FRC-b1,1em2,best,N3dot,0.47021895428667276,0.8246610902447341,0.47021895428667276,0.8246610902447341
FRC-b1,1em2,zero,Ndot,0.07023605074898859,0.07391614233441923,0.07023605074898859,0.07391614233441923
FRC-b1,1em2,zero,Nddot,0.11552770399057184,0.1601378855923467,0.11552770399057184,0.1601378855923467
FRC-b1,1em2,zero,N3dot,0.21437406785022844,0.925631699460635,0.21437406785022844,0.925631699460635
FRC-b1,1p5em2,best,Ndot,0.1987542144735026,0.3809183348780736,0.1987542144735026,0.3809183348780736
FRC-b1,1p5em2,best,Nddot,0.14505581360548167,0.2195683656187839,0.14505581360548167,0.2195683656187839
FRC-b1,1p5em2,best,N3dot,0.4640289569379704,1.3592348618619965,0.4640289569379704,1.3592348618619965
FRC-b1,1p5em2,zero,Ndot,0.0766016531037283,0.07621469449865732,0.0766016531037283,0.07621469449865732
FRC-b1,1p5em2,zero,Nddot,0.24617166467487844,0.3126970446925184,0.24617166467487844,0.3126970446925184
FRC-b1,1p5em2,zero,N3dot,0.8527833840183418,2.278560866391092,0.8527833840183418,2.278560866391092
FRC-b1,5em3,best,Ndot,2.4063500447905763,2.441530635094421,2.4063500447905763,2.441530635094421
FRC-b1,5em3,best,Nddot,0.11276131379605114,0.1114438813249499,0.11276131379605114,0.1114438813249499
FRC-b1,5em3,best,N3dot,0.46236278474682013,0.4632159599174158,0.46236278474682013,0.4632159599174158
FRC-b1,5em3,zero,Ndot,0.07192779379228997,0.07435696930162515,0.07192779379228997,0.07435696930162515
FRC-b1,5em3,zero,Nddot,0.09497184078778168,0.10382609269549398,0.09497184078778168,0.10382609269549398
FRC-b1,5em3,zero,N3dot,0.131374792860942,0.15893660382387317,0.131374792860942,0.15893660382387317
FRC-b25,1em2,best,Ndot,1.2917662934820207,1.2158991740472997,1.2917662934820207,1.2158991740472997
FRC-b25,1em2,best,Nddot,0.22613541178683272,0.22174082245257934,0.22613541178683272,0.22174082245257934
FRC-b25,1em2,best,N3dot,0.48901394946271054,0.4995058814186953,0.48901394946271054,0.4995058814186953
FRC-b25,1em2,zero,Ndot,0.1343136080896811,0.13664387202309222,0.1343136080896811,0.13664387202309222
FRC-b25,1em2,zero,Nddot,0.40258456874169557,0.37067933288665866,0.40258456874169557,0.37067933288665866
FRC-b25,1em2,zero,N3dot,0.9535875122661785,0.88724745197579,0.9535875122661785,0.88724745197579
FRC-b25,1p5em2,best,Ndot,1.3830837877446378,1.392735788402989,1.3830837877446378,1.392735788402989
FRC-b25,1p5em2,best,Nddot,1.0747515821670297,1.0061749546534833,1.0747515821670297,1.0061749546534833
FRC-b25,1p5em2,best,N3dot,1.370376732862029,1.2347451541458252,1.370376732862029,1.2347451541458252
FRC-b25,1p5em2,zero,Ndot,0.40763186499507587,0.373088162859674,0.40763186499507587,0.373088162859674
FRC-b25,1p5em2,zero,Nddot,1.5978273385269532,1.4731344493108314,1.5978273385269532,1.4731344493108314
FRC-b25,1p5em2,zero,N3dot,3.4195416747594107,3.1949823919993823,3.4195416747594107,3.1949823919993823
FRC-b25,5em3,best,Ndot,6.601216375943325,6.471229676379383,6.601216375943325,6.471229676379383
FRC-b25,5em3,best,Nddot,0.19421523608124822,0.19094421657787639,0.19421523608124822,0.19094421657787639
FRC-b25,5em3,best,N3dot,0.5963290935029302,0.5925265711890605,0.5963290935029302,0.5925265711890605
FRC-b25,5em3,zero,Ndot,0.1076918739709748,0.11217339656747087,0.1076918739709748,0.11217339656747087
FRC-b25,5em3,zero,Nddot,0.1636747681973803,0.1719091603088784,0.1636747681973803,0.1719091603088784
FRC-b25,5em3,zero,N3dot,0.22517278428429244,0.2323194009012691,0.22517278428429244,0.2323194009012691
