case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_opt2_kf4_ic532_full_dissproj_0p01,opt2_kf4_ic532,full_dissproj,0.01,,STABLE,2.1994e-03,3.5360e-04,6.22,2.4261e-02,2.9594e-02,True,101.9,2.055e-02
case_opt2_kf4_ic532_full_0p005,opt2_kf4_ic532,full,0.005,,STABLE,2.7099e-04,1.2709e-05,21.32,2.2661e-02,1.4560e-02,False,,
case_opt2_kf4_ic532_full_dissproj_0p005,opt2_kf4_ic532,full_dissproj,0.005,,STABLE,2.7099e-04,1.2962e-05,20.91,2.2658e-02,1.4569e-02,True,106.6,1.715e-02
case_opt2_kf4_ic837_full_0p015,opt2_kf4_ic837,full,0.015,,STABLE,3.8026e-02,1.1557e-01,0.33,6.2379e+00,2.2829e-01,False,,
case_opt2_kf4_ic837_full_dissproj_0p015,opt2_kf4_ic837,full_dissproj,0.015,,STABLE,3.8026e-02,1.1622e-01,0.33,6.2326e+00,2.2730e-01,True,82.1,9.913e-03
case_opt2_kf4_ic837_full_0p01,opt2_kf4_ic837,full,0.01,,STABLE,1.7481e-03,3.5068e-03,0.50,5.9599e-01,2.6219e-02,False,,
case_opt2_kf4_ic837_full_dissproj_0p01,opt2_kf4_ic837,full_dissproj,0.01,,STABLE,1.7481e-03,3.5143e-03,0.50,6.0046e-01,2.6204e-02,True,89.0,1.155e-02
case_opt2_kf4_ic837_full_0p005,opt2_kf4_ic837,full,0.005,,STABLE,2.0950e-04,1.2593e-05,16.64,2.2857e-02,1.2741e-02,False,,
case_opt2_kf4_ic837_full_dissproj_0p005,opt2_kf4_ic837,full_dissproj,0.005,,STABLE,2.0950e-04,1.2759e-05,16.42,2.2854e-02,1.2737e-02,True,92.6,1.585e-02
case_opt2_kf4_ic912_full_0p015,opt2_kf4_ic912,full,0.015,16,UNSTABLE,7.2072e-02,,,2.1399e+00,8.2568e+00,False,,
case_opt2_kf4_ic912_full_dissproj_0p015,opt2_kf4_ic912,full_dissproj,0.015,16,UNSTABLE,7.2072e-02,,,3.4789e+00,5.3537e+00,True,105.8,1.053e-01
case_opt2_kf4_ic912_full_0p01,opt2_kf4_ic912,full,0.01,,STABLE,2.7377e-03,6.3891e-02,0.04,4.0237e+00,3.8180e-01,False,,
case_opt2_kf4_ic912_full_dissproj_0p01,opt2_kf4_ic912,full_dissproj,0.01,,STABLE,2.7377e-03,5.9196e-02,0.05,4.0748e+00,3.3560e-01,True,98.6,3.851e-02
case_opt2_kf4_ic912_full_0p005,opt2_kf4_ic912,full,0.005,,STABLE,3.1217e-04,2.0426e-05,15.28,2.6890e-02,1.5370e-02,False,,
case_opt2_kf4_ic912_full_dissproj_0p005,opt2_kf4_ic912,full_dissproj,0.005,,STABLE,3.1217e-04,2.0852e-05,14.97,2.6920e-02,1.5365e-02,True,104.3,2.181e-02
